state,district,name,address,lat,lng,business_status
Johor,Johor Bahru,STARBUCKS,"Lot J1-06, Level 1, Johor Bahru City Square, 106 & 108, Jalan Wong Ah Fook, Bandar Johor Bahru, 80000 Johor Bahru, Johor, Malaysia",1.461884,103.76353,OPERATIONAL
Selangor,Sepang,STARBUCKS,"Main Terminal Building, Lot FG12, Food Garden KLIA, Level 2, Kuala Lumpur International Airport, 43900 Sepang, Selangor, Malaysia",2.754691,101.704836,OPERATIONAL
Sabah,Kota Kinabalu,STARBUCKS,"No. G-301, One Borneo Hyper Mall, Jalan Sulaman, 88000 Kota Kinabalu, Sabah, Malaysia",6.036503,116.129193,CLOSED_PERMANENTLY
Johor,Johor Bahru,STARBUCKS,"Paradigm Mall, Lot GF-73A, Ground Floor, Skudai Hwy, 81200 Johor Bahru, Johor, Malaysia",1.515856,103.684832,OPERATIONAL
Johor,Johor Bahru,STARBUCKS,"Sales Gallery, Lot PTB22056, Skudai Hwy, Danga Bay, 80200, Johor, Malaysia",1.464855,103.726634,OPERATIONAL
Sarawak,Kuching,STARBUCKS,"Unit G1 & F1, Ground & First Floor, Precint 88, 93350, 11429, Jalan Song, Tabuan Heights, 93350 Kuching, Sarawak, Malaysia",1.516973,110.367076,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS (BUKIT BINTANG),"Ground Floor, 118, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan, Malaysia",3.146661,101.710888,CLOSED_PERMANENTLY
Johor,Muar,"STARBUCKS - KCC CITY BUSINESS PARK, MUAR","19, Jalan Gemilang Bakri 1, Pusat Komersial Gemilang Bakri, 84200 Muar, Johor, Malaysia",2.049083,102.600669,OPERATIONAL
Selangor,Sepang,STARBUCKS - KLIA T1 SATELLITE TERMINAL,"Klia Satelite A Building, 64000, Klia Departure, Kuala Lumpur International Airport, 43900 Sepang, Selangor, Malaysia",2.747363,101.713968,OPERATIONAL
Terengganu,Kuala Terengganu,STARBUCKS - KTCC MALL,"LOT G-25 KTCC Mall, 219, Jalan Sultan Zainal Abidin, 20200 Kuala Terengganu, Terengganu, Malaysia",5.332949,103.150679,OPERATIONAL
Selangor,Petaling,STARBUCKS 3 DAMANSARA,"G-01, Ground Floor, Tropicana City Mall, Lot, 3, Jalan SS 20/27, 47400, Selangor, Malaysia",3.130754,101.627212,OPERATIONAL
Selangor,Petaling,STARBUCKS 3 TWO SQUARE,"32, No, C-17-01, Dataran, 2, Jalan 19/1, 46300, Selangor, Malaysia",3.11127,101.632455,OPERATIONAL
Selangor,Klang,STARBUCKS @ AEON BUKIT RAJA,"Ground Floor, Lot G35, Persiaran Bukit Raja 2, 41150 Klang, Malaysia",3.060748,101.472324,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS @ AEON MALL METRO PRIMA,"Metro Prima Shopping Centre, Lot G36, Ground Floor, AEON, 52100 Kuala Lumpur, Malaysia",3.213434,101.638825,OPERATIONAL
Selangor,Sepang,STARBUCKS @ IOI CITY MALL (WEST WING),"Unit GE-2, Ground Floor, IOI City Mall, 62505 Putrajaya, Malaysia",2.96954,101.712889,OPERATIONAL
Selangor,Sepang,STARBUCKS @ IOI CITY MALL 2,"Lot GE-209, Ground Floor (East wing), IOI City Mall, Phase 2, Lbh IRC, Ioi Resort, 62502 Putrajaya, Selangor, Malaysia",2.968532,101.716409,OPERATIONAL
Selangor,Petaling,STARBUCKS @ JAYA SHOPPING CENTRE,"Lot G15A & G-16, Ground Floor, Jaya Shopping Centre, Section 14, 46100, Selangor, Malaysia",3.109013,101.63684,OPERATIONAL
Pulau Pinang,Seberang Perai Selatan,STARBUCKS @ KLIPPA IKEA BATU KAWAN (U/C),"Penang, Malaysia",5.236139,100.442154,OPERATIONAL
Selangor,Klang,STARBUCKS @ KSL ESPLANADE MALL,"G063, Ground Floor, KSL Esplanade Mall, Persiaran Bestari 2/09, Bandar Bestari, 41200 Klang, Selangor, Malaysia",2.958974,101.46650699999999,OPERATIONAL
Sarawak,Miri,STARBUCKS @ PERMAISURI IMPERIAL CITY MALL,"City Mall, PICM-GF11, PICM-GF11a & PICM-GF11b, Ground Floor, Permaisuri Imperial, Jalan Merpati, 98000, Sarawak, Malaysia",4.400465,113.990372,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS @ THE SCOTT GARDEN,"S-G-9, Old Klang Rd, The Scott Garden, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.095059,101.675018,CLOSED_PERMANENTLY
Selangor,Petaling,STARBUCKS @ THOMSON HOSPITAL KOTA DAMANSARA,"Ground floor, Unit 1111, Thomson Hospital, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",3.148928,101.578879,OPERATIONAL
Melaka,Melaka Tengah,STARBUCKS @LOTUS'S MELAKA DT,"Lot L45, Ground Floor, Lotus's Melaka, No. 1, Jalan Tun Abdul Razak, 75400, Malacca, Malaysia",2.21761,102.247391,OPERATIONAL
