state,district,address,lat,lng
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Fortune Centra Kepong No G-17, Ground floor, Fortune Centra 2, Jalan Metro Perdana 6, Taman Usahawan Kepong,",3.2156591,101.644736
Selangor,Petaling,"Setia City Mall Unit No. LG-133, Lower Ground Floor, Setia City Mall, No. 7, Persiaran Setia Dagang, Bandar Setia Alam, Seksyen U13,",3.108951,101.4613414
Perlis,Perlis,"Kangar Jaya No.2, Jalan Kangar Jaya 3, Kangar Jaya, Jalan Tuanku Syed Putra, Kangar Perlis",6.407542599999999,100.1811746
Selangor,Sepang,"Kota Warisan Sepang No. 93, Jalan Warisan Sentral 1, KIP Sentral Kota Warisan,",2.8223072,101.6955841
Selangor,Sepang,"Sierra Fresco Puchong Drive Thru  DT1, Ground Floor, Sierra Fresco, Jln Sierra 10/1, Bandar 16 Sierra,",2.9744255,101.6550518
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Novo Jalan Ampang NOVO Ampang, 317, Jalan Ampang, Desa Pahlawan,",3.1602696,101.7398377
Selangor,Ulu Langat,"One Shamelin Mall A-G-072 ,Level G, 1 Shamelin Mall, 100, Jalan 4/91, Taman Shamelin Perkasa,",3.1227265,101.7401395
Pulau Pinang,Seberang Perai Utara,"Raja Uda Butterworth No. 29, Jalan Raja Uda, Pusat Perniagaan Raja Uda,",5.4165025,100.3799319
Pulau Pinang,Timur Laut,"Bora Bora Batu Ferringhi Lot 72C-G-1, Jalan Batu Ferringhi,",5.4743852,100.2477111
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Pearl Point Mall Pearl Mall (PRL) G.51, G.52 & G.53, Ground Floor, Pearl Point Shopping Mall, Batu 5, Jalan Klang Lama,",3.0846946,101.6733384
Selangor,Gombak,"Prima Sri Gombak PRIMA SRI GOMBAK (PGS) No. 30G, Jalan Prima SG2, Prima Sri Gombak,",3.238543,101.70013
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"AEON Alpha Angle AEON Wangsa Maju Alpha Angle Jalan R1, Seksyen 1, Bandar Baru, Wangsa Maju,",3.2021492,101.7338737
Johor,Muar,"KCC City Business Park Muar KCCC City Business Park @ Jalan Bakri, PTD",2.0454871,102.6573559
Selangor,Klang,"Alam Impian Shah Alam Alam Impian (AIS) GF, No. 9, Jalan Panglima Hitam, M35/M Alam Impian",3.0255035,101.5160966
Johor,Johor Bahru,"KPJ Johor Hospital KPJ Johor Hospital (KJH) Ground Floor, KPJ Johor No. 39-B, Jalan Abdul Samad,",1.4758375,103.7402624
Pulau Pinang,Timur Laut,"U Hotel Penang No. 676-G-1 U HOTEL, Jalan Sungai Dua,",5.351401,100.2977467
Johor,Johor Bahru,"Southkey Mall 2 Southkey Mall 2 (SM2) Lot T-041, Level 3, The Mall, Mid Valley Southkey Persiaran Southkey 1 Southkey,",1.5013338,103.7774187
Melaka,Alor Gajah,"Limbongan Melaka Drive Thru  Limbongan Melaka Drive Thru (LMD) 188-5, Jalan Persisiran Pantai, Limbongan",2.3038826,102.0793278
Pahang,Kuantan,"Indera Mahkota Drive Thru G08 , Ground Floor , Lotus Indera Mahkota , Off Jalan Tun Razak , Mukim Kuala Kuantan ,",3.8050354,103.3264802
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Caltex Jalan Tun Razak Caltex Tun Razak 203, Jln Tun Razak, Kuala Lumpur,",3.1573185,101.7205075
Perak,Larut Dan Matang,"Taiping Mall Lot G-03A, Ground Floor, Taiping Mall, Jalan Tupai 3A, Taiping Mall, 33 Level 3A,",4.8492119,100.7436603
Selangor,Gombak,"Melawati Mall Melawati Mall Jalan Bandar 12, Taman Melawati,",3.2109589,101.7487551
Terengganu,Kuala Terengganu,"Kuala Terengganu City Centre Lot G-18, Ground Floor, KTCC Mall Lot PT4191 Muara Selatan,",5.3283231,103.1412157
Perak,Kinta,"Botani Village Ipoh F-2, Medan Botani (Pusat Komersial Botani Village) Medan Botani 1A, Bandar Seri Botani,",4.531143999999999,101.1157898
Pulau Pinang,Seberang Perai Selatan,"KPJ Hospital Penang North Wing, KPJ Penang Specialist Hospital",5.263234100000001,100.4846227
Perak,Kinta,"Canning 2 Ipoh Canning II Ipoh (C2I) Unit No.39, Canning II Business Centre, Ipoh, Perak Ipoh Perak",4.5980221,101.1056395
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Rivercity Jalan Ipoh Lot No. 468-1(1),Blok F, Rivercity, Jalan Sultan Azlan Shah,",3.1799772,101.6818468
Negeri Sembilan,Seremban,"Seremban 2 Heights No: 1-G, Pusat Komersial Saujana 1, Pusat Komersial Saujana, Seremban 2 Heights,",2.7098985,101.8885801
Pahang,Bentong,"Genting Premium Outlet Kiosk Genting Premium Outlet Kiosk (GP2) Suite No. 132, Genting Highlands Premium Outlets®KM13,",3.423978,101.7932011
Perak,Larut Dan Matang,"Taiping Central Mall Taiping Sentral Mall (TMP) G-16, Ground Floor, Taiping Sentral Mall, No. 36, Jalan Istana Larut,",4.8658188000000004,100.7312078
